index,variant,humanbinary,GPTbinary
1,1,0,0
2,1,1,0
3,1,1,1
4,1,1,0
5,1,0,0
6,1,1,1
7,1,1,0
8,1,0,1
9,1,0,0
10,1,1,0
11,1,0,0
12,1,1,0
13,1,0,1
14,1,1,0
15,1,1,1
16,1,1,0
17,1,1,0
18,1,1,0
19,1,1,0
20,1,1,1
21,1,1,0
22,1,1,0
23,1,0,0
24,1,1,0
25,1,1,0
26,1,1,1
27,1,1,0
28,1,0,0
29,1,1,0
30,1,0,0
31,1,0,0
32,1,1,1
33,1,1,0
34,1,1,0
35,1,1,1
36,1,1,0
37,1,1,0
38,1,0,0
39,1,0,0
40,1,1,1
41,1,1,1
42,1,1,1
43,1,0,0
44,1,1,0
45,1,1,0
46,1,0,1
47,1,0,0
48,1,1,0
49,1,1,0
50,1,0,0
51,1,0,0
52,1,0,0
53,1,0,0
54,1,1,0
55,1,1,0
56,1,1,1
57,1,1,0
58,1,1,0
59,1,1,1
60,1,1,0
61,1,1,1
62,1,1,0
63,1,1,0
64,1,0,0
65,1,1,0
66,1,1,1
67,1,1,1
68,1,0,0
69,1,1,0
70,1,0,0
71,1,0,0
72,1,1,0
73,1,1,1
74,1,1,1
75,1,1,0
76,1,0,0
77,1,0,0
78,1,0,1
79,1,0,0
80,1,0,0
81,1,0,0
82,1,0,1
83,1,0,1
84,1,1,0
85,1,1,0
86,1,0,0
87,1,0,0
88,1,1,0
89,1,1,1
90,1,1,0
91,1,0,0
92,1,0,1
93,1,0,0
94,1,1,0
95,1,1,0
96,1,0,0
97,1,1,0
98,1,1,1
99,1,1,1
100,1,1,0
101,1,0,0
102,1,1,0
103,1,1,0
104,1,0,0
105,1,0,1
106,1,1,0
107,1,0,1
108,1,1,0
109,1,0,0
110,1,1,1
111,1,1,0
112,1,0,0
113,1,0,0
114,1,1,0
115,1,1,1
116,1,0,0
117,1,1,0
118,1,0,0
119,1,1,0
120,1,1,0
121,1,0,0
122,1,0,0
123,1,0,0
124,1,1,1
125,1,1,0
126,1,1,1
127,1,1,1
128,1,0,1
129,1,0,0
130,1,1,0
131,1,1,0
132,1,0,0
133,1,0,0
134,1,1,0
135,1,0,0
136,1,0,0
137,1,1,1
138,1,0,0
139,1,0,1
140,1,1,1
141,1,0,0
142,1,0,1
143,1,1,0
144,1,0,1
145,1,0,1
146,1,1,1
147,1,1,0
148,1,0,1
149,1,0,0
150,1,0,0
151,1,1,1
152,1,1,1
153,1,0,0
154,1,0,0
155,1,1,0
156,1,0,0
157,1,1,0
158,1,0,1
159,1,0,0
160,1,1,1
161,1,0,0
162,1,0,1
163,1,0,0
164,1,1,0
165,1,0,0
166,1,1,0
167,1,0,1
168,1,1,0
169,1,1,1
170,1,1,1
171,1,0,0
172,1,1,1
173,1,1,0
174,1,1,0
175,1,1,0
176,1,1,1
177,1,0,1
178,1,0,0
179,1,1,1
180,1,0,0
181,1,0,0
182,1,0,0
183,1,0,0
184,1,1,0
185,1,0,1
186,1,0,0
187,1,1,1
188,1,1,1
189,1,1,1
190,1,1,1
191,1,1,0
192,1,1,0
193,1,0,0
194,1,1,1
195,1,0,0
196,1,1,0
197,1,1,1
198,1,1,0
199,1,1,0
200,1,1,1
201,1,0,1
202,1,1,0
203,1,0,0
204,1,0,0
205,1,0,0
206,1,1,0
207,1,1,1
208,1,1,0
209,1,0,0
210,1,1,0
211,1,0,0
212,1,1,0
213,1,0,0
214,1,1,0
215,1,1,0
216,1,1,1
217,1,0,0
218,1,0,1
219,1,1,0
220,1,1,1
221,1,1,1
222,1,0,0
223,1,1,0
224,1,1,1
225,1,0,1
226,1,0,0
227,1,1,0
228,1,1,0
229,1,0,1
230,1,1,0
231,1,0,0
232,1,1,0
233,1,1,0
234,1,0,0
235,1,1,0
236,1,1,1
237,1,0,1
238,1,1,0
239,1,0,1
240,1,0,0
241,1,0,0
242,1,1,0
243,1,1,0
244,1,0,0
245,1,1,0
246,1,1,1
247,1,0,0
248,1,1,1
249,1,1,0
250,1,1,0
251,1,1,0
252,1,1,1
253,1,1,0
254,1,1,1
255,1,0,0
256,1,1,1
257,1,1,0
258,1,0,0
259,1,0,1
260,1,0,0
261,1,1,0
262,1,0,0
263,1,1,1
264,1,0,1
265,1,0,0
266,1,0,0
267,1,1,0
268,1,0,0
269,1,0,0
270,1,0,0
271,1,1,0
272,1,1,1
273,1,0,1
274,1,1,0
275,1,1,1
276,1,1,1
277,1,1,0
278,1,0,0
279,1,1,0
280,1,0,0
281,1,0,1
282,1,0,0
283,1,1,0
284,1,0,0
285,1,1,0
286,1,1,0
287,1,1,0
288,1,0,0
289,1,1,1
290,1,1,1
291,1,1,0
292,1,1,1
293,1,0,0
294,1,0,0
295,1,0,0
296,1,0,1
297,1,0,0
298,1,1,0
299,1,0,0
300,1,0,0
301,1,0,0
302,1,0,0
303,1,0,0
304,1,1,1
305,1,1,1
306,1,1,0
307,1,1,0
308,1,0,1
309,1,0,1
310,1,0,1
311,1,0,0
312,1,1,0
313,1,1,0
314,1,0,0
315,1,1,1
316,1,0,0
317,1,1,1
318,1,1,1
319,1,0,0
320,1,0,0
321,1,1,0
322,1,0,0
323,1,1,0
324,1,0,1
325,1,1,1
326,1,1,0
327,1,1,0
328,1,1,0
329,1,1,0
330,1,1,0
331,1,1,0
332,1,1,0
333,1,1,1
334,1,1,0
335,1,1,1
336,1,0,0
337,1,0,0
338,1,1,0
339,1,1,1
340,1,1,0
341,1,1,0
342,1,1,0
343,1,0,1
344,1,1,0
345,1,0,0
346,1,1,1
347,1,0,0
348,1,0,0
349,1,0,0
350,1,0,0
351,1,1,1
352,1,1,1
353,1,0,0
354,1,0,1
355,1,1,1
356,1,1,0
357,1,1,0
358,1,1,0
359,1,0,0
360,1,1,0
361,1,1,0
362,1,0,1
363,1,1,0
364,1,1,0
365,1,1,0
366,1,1,0
367,1,0,0
368,1,0,0
369,1,1,0
370,1,1,1
371,1,1,1
372,1,1,1
373,1,0,0
374,1,1,0
375,1,1,1
376,1,1,1
377,1,1,1
378,1,1,0
379,1,1,1
380,1,1,0
381,1,0,0
382,1,1,0
383,1,0,1
384,1,1,1
385,1,0,0
386,1,1,1
387,1,1,0
388,1,1,0
389,1,1,0
390,1,0,0
391,1,1,0
392,1,1,1
393,1,0,0
394,1,1,0
395,1,1,1
396,1,0,0
397,1,0,0
398,1,0,0
399,1,1,0
400,1,1,0
401,1,1,1
402,1,0,0
403,1,1,0
404,1,1,1
405,1,0,0
406,1,0,0
407,1,1,0
408,1,0,0
409,1,0,0
410,1,0,0
411,1,0,0
412,1,1,0
413,1,1,0
414,1,0,1
415,1,1,0
416,1,0,0
417,1,1,0
418,1,1,1
419,1,0,0
420,1,1,0
421,1,1,0
422,1,0,0
423,1,0,0
424,1,1,0
425,1,1,1
426,1,1,1
427,1,1,1
428,1,0,0
429,1,0,0
430,1,1,0
431,1,0,0
432,1,1,0
433,1,0,0
434,1,0,0
435,1,1,0
436,1,1,0
437,1,1,0
438,1,0,0
439,1,1,1
440,1,0,0
441,1,1,0
442,1,0,0
443,1,0,1
444,1,1,0
445,1,0,0
446,1,0,1
447,1,1,1
448,1,1,1
449,1,0,0
450,1,0,0
451,1,1,0
452,1,0,0
453,1,0,1
454,1,1,1
455,1,1,0
456,1,1,0
457,1,1,1
458,1,0,0
459,1,1,0
460,1,1,0
461,1,0,1
462,1,1,0
463,1,0,0
464,1,1,0
465,1,1,0
466,1,0,1
467,1,1,0
468,1,1,1
469,1,1,0
470,1,0,0
471,1,0,0
472,1,0,1
473,1,0,0
474,1,1,0
475,1,1,0
476,1,1,1
477,1,1,1
478,1,1,0
479,1,1,1
480,1,1,0
481,1,1,0
482,1,0,0
483,1,1,0
484,1,1,1
485,1,1,0
486,1,0,0
487,1,0,1
488,1,1,0
489,1,0,0
490,1,1,0
491,1,1,0
492,1,0,0
493,1,0,0
494,1,0,0
495,1,1,0
496,1,0,0
497,1,1,0
498,1,0,0
499,1,0,1
500,1,1,0
501,1,0,0
502,1,0,0
503,1,0,0
504,1,1,1
505,1,0,0
506,1,0,0
507,1,1,0
508,1,1,1
509,1,0,1
510,1,1,0
511,1,0,0
512,1,1,1
513,1,1,0
514,1,0,0
515,1,1,1
516,1,1,0
517,1,0,0
518,1,1,0
519,1,1,1
520,1,0,0
521,1,1,0
522,1,1,0
523,1,0,0
524,1,1,0
525,1,0,0
526,1,0,1
527,1,1,0
528,1,0,0
529,1,1,0
530,1,1,1
531,1,1,0
532,1,1,0
533,1,0,0
534,1,1,0
535,1,0,0
536,1,0,1
537,1,0,1
538,1,0,0
539,1,1,0
540,1,1,1
541,1,0,1
542,1,0,0
543,1,0,0
544,1,1,0
545,1,1,0
546,1,0,0
547,1,1,0
548,1,1,0
549,1,0,0
550,1,0,0
551,1,0,0
552,1,0,0
553,1,0,0
554,1,1,0
555,1,1,1
556,1,0,0
557,1,0,0
558,1,1,0
559,1,1,1
560,1,1,1
561,1,0,1
562,1,0,0
563,1,0,1
564,1,1,0
565,1,1,0
566,1,0,0
567,1,1,0
568,1,1,1
569,1,1,0
570,1,0,0
571,1,1,0
572,1,1,0
573,1,1,0
574,1,1,1
575,1,0,0
576,1,0,1
577,1,1,0
578,1,1,0
579,1,1,0
580,1,0,0
581,1,0,1
582,1,0,0
583,1,0,0
584,1,1,0
585,1,0,1
586,1,1,1
587,1,0,0
588,1,0,0
589,1,0,0
590,1,0,0
591,1,1,0
592,1,0,1
593,1,0,0
594,1,1,0
595,1,1,1
596,1,1,1
597,1,1,0
598,1,0,1
599,1,1,0
600,1,0,0
601,1,1,0
602,1,0,0
603,1,1,1
604,1,1,0
605,1,0,1
606,1,0,0
607,1,0,1
608,1,1,1
609,1,1,0
610,1,0,0
611,1,1,0
612,1,1,0
613,1,1,1
614,1,0,0
615,1,1,0
616,1,0,0
617,1,0,0
618,1,0,1
619,1,0,0
620,1,0,0
621,1,0,0
622,1,1,0
623,1,0,1
624,1,1,0
625,1,0,1
626,1,1,1
627,1,0,1
628,1,1,1
629,1,0,0
630,1,1,0
631,1,1,0
632,1,0,1
633,1,0,0
634,1,1,0
635,1,0,0
636,1,1,0
637,1,0,0
638,1,0,1
639,1,0,0
640,1,1,0
641,1,1,0
642,1,0,0
643,1,0,0
644,1,0,1
645,1,1,1
646,1,0,0
647,1,1,0
648,1,1,1
649,1,1,0
650,1,0,1
651,1,1,0
652,1,0,0
653,1,1,0
654,1,1,0
655,1,0,0
656,1,1,0
657,1,0,0
658,1,0,0
659,1,1,1
660,1,0,0
661,1,1,0
662,1,1,1
663,1,1,0
664,1,1,0
665,1,0,0
666,1,1,0
667,1,0,0
668,1,0,0
669,1,0,0
670,1,1,0
671,1,1,0
672,1,1,0
673,1,1,1
674,1,1,0
675,1,1,1
676,1,0,1
677,1,0,0
678,1,1,0
679,1,0,0
680,1,1,1
681,1,1,0
682,1,1,1
683,1,1,0
684,1,1,1
685,1,0,0
686,1,0,0
687,1,1,0
688,1,1,0
689,1,1,1
690,1,0,0
691,1,0,0
692,1,0,0
693,1,0,1
694,1,0,0
695,1,0,0
696,1,0,0
697,1,0,0
698,1,1,0
699,1,1,0
700,1,0,1
701,1,1,1
702,1,0,0
703,1,1,1
704,1,1,0
705,1,0,1
706,1,0,0
707,1,0,0
708,1,1,0
709,1,1,0
710,1,1,0
711,1,0,1
712,1,1,0
713,1,1,0
714,1,1,0
715,1,0,0
716,1,0,1
717,1,0,0
718,1,1,0
719,1,0,0
720,1,1,0
721,1,0,0
722,1,1,0
723,1,1,0
724,1,0,0
725,1,1,1
726,1,1,0
727,1,0,1
728,1,1,0
729,1,0,1
730,1,1,0
731,1,0,0
732,1,1,0
733,1,1,1
734,1,1,1
735,1,1,1
736,1,1,0
737,1,1,0
738,1,1,0
739,1,0,0
740,1,0,0
741,1,1,0
742,1,0,1
743,1,0,0
744,1,1,1
745,1,0,0
746,1,1,0
747,1,1,0
748,1,0,0
749,1,0,0
750,1,0,0
751,1,0,0
752,1,0,0
753,1,0,1
754,1,1,0
755,1,0,0
756,1,0,0
757,1,0,0
758,1,1,1
759,1,0,1
760,1,0,1
761,1,0,0
762,1,0,0
763,1,1,0
764,1,1,0
765,1,1,0
766,1,1,0
767,1,0,0
768,1,1,1
769,1,1,0
770,1,0,1
771,1,1,1
772,1,1,1
773,1,0,0
774,1,0,0
775,1,0,0
776,1,1,0
777,1,1,0
778,1,0,0
779,1,0,0
780,1,1,1
781,1,0,0
782,1,0,0
783,1,0,0
784,1,0,0
785,1,0,0
786,1,1,1
787,1,1,1
788,1,1,0
789,1,0,1
790,1,1,0
791,1,0,0
792,1,1,1
793,1,0,0
794,1,1,1
795,1,0,0
796,1,0,0
797,1,1,0
798,1,1,1
799,1,0,0
800,1,1,0
801,1,1,0
802,1,1,1
803,1,1,1
804,1,1,1
805,1,1,0
806,1,0,1
807,1,1,1
808,1,1,0
809,1,1,0
810,1,1,0
811,1,1,1
812,1,0,0
813,1,0,0
814,1,0,1
815,1,1,0
816,1,0,1
817,1,1,0
818,1,1,0
819,1,0,0
820,1,0,0
821,1,1,1
822,1,1,0
823,1,0,1
824,1,0,0
825,1,1,0
826,1,0,0
827,1,0,0
828,1,0,0
829,1,0,0
830,1,0,1
831,1,0,1
832,1,0,0
833,1,0,0
834,1,0,0
835,1,1,1
836,1,1,0
837,1,1,0
838,1,0,0
839,1,0,0
840,1,1,1
841,1,0,1
842,1,0,1
843,1,1,1
844,1,0,0
845,1,0,0
846,1,1,0
847,1,0,1
848,1,0,1
849,1,1,0
850,1,1,1
851,1,1,0
852,1,1,1
853,1,1,0
854,1,1,0
855,1,1,0
856,1,0,0
857,1,0,1
858,1,0,0
859,1,1,0
860,1,0,1
861,1,0,0
862,1,1,0
863,1,1,1
864,1,1,0
865,1,1,1
866,1,0,0
867,1,0,0
868,1,1,1
869,1,1,0
870,1,0,1
871,1,1,1
872,1,1,0
873,1,1,0
874,1,0,0
875,1,0,0
876,1,1,1
877,1,1,1
878,1,1,0
879,1,0,0
880,1,0,0
881,1,1,0
882,1,0,0
883,1,0,0
884,1,1,1
885,1,1,0
886,1,0,0
887,1,1,0
888,1,0,0
889,1,1,0
890,1,0,0
891,1,0,1
892,1,1,0
893,1,0,0
894,1,0,0
895,1,1,1
896,1,0,0
897,1,0,0
898,1,0,1
899,1,0,0
900,1,0,0
901,1,0,0
902,1,1,0
903,1,1,0
904,1,0,0
905,1,0,0
906,1,0,0
907,1,0,0
908,1,1,0
909,1,0,0
910,1,0,1
911,1,0,0
912,1,1,0
913,1,1,1
914,1,1,0
915,1,1,0
916,1,0,0
917,1,1,1
918,1,0,0
919,1,0,0
920,1,1,0
921,1,1,1
922,1,0,0
923,1,1,1
924,1,1,1
925,1,0,0
926,1,0,0
927,1,0,0
928,1,1,0
929,1,1,0
930,1,0,0
931,1,0,0
932,1,0,0
933,1,0,1
934,1,1,0
935,1,1,0
936,1,0,0
937,1,1,0
938,1,1,0
939,1,1,1
940,1,0,0
941,1,0,0
942,1,1,0
943,1,0,0
944,1,0,0
945,1,1,0
946,1,1,1
947,1,1,0
948,1,1,0
949,1,0,0
950,1,0,0
951,1,0,0
952,1,0,0
953,1,1,0
954,1,0,0
955,1,0,0
956,1,1,0
957,1,0,0
958,1,1,0
959,1,1,1
960,1,1,0
961,1,0,1
962,1,1,0
963,1,1,0
964,1,0,0
965,1,1,1
966,1,1,1
967,1,1,0
968,1,0,0
969,1,1,0
970,1,1,0
971,1,0,0
972,1,1,1
973,1,1,1
974,1,1,0
975,1,0,0
976,1,1,0
977,1,1,0
978,1,1,1
979,1,0,1
980,1,1,1
981,1,1,1
982,1,0,0
983,1,1,0
984,1,1,0
985,1,0,1
986,1,1,0
987,1,0,0
988,1,1,0
989,1,0,0
990,1,0,0
991,1,1,0
992,1,0,0
993,1,1,1
994,1,0,0
995,1,0,0
996,1,1,1
997,1,0,0
998,1,0,0
999,1,0,1
1000,1,0,0
1001,1,1,1
1002,1,1,0
1003,1,1,0
1004,1,1,0
1005,1,0,1
1006,1,1,1
1007,1,0,0
1008,1,1,0
1009,1,0,0
1010,1,0,1
1011,1,1,0
1012,1,1,1
1013,1,1,0
1014,1,1,0
1015,1,0,0
1016,1,0,1
1017,1,1,1
1018,1,1,0
1019,1,0,0
1020,1,1,1
1021,1,1,1
1022,1,0,0
1023,1,0,0
1024,1,0,0
1025,1,0,0
1026,1,1,1
1027,1,1,1
1028,1,1,0
1029,1,1,0
1030,1,0,0
1031,1,0,0
1032,1,1,1
1033,1,0,0
1034,1,0,0
1035,1,0,0
1036,1,0,0
1037,1,1,1
1038,1,1,0
1039,1,1,0
1040,1,1,1
1041,1,0,1
1042,1,0,0
1043,1,0,0
1044,1,0,0
1045,1,0,0
1046,1,1,0
1047,1,0,0
1048,1,0,0
1049,1,0,0
1050,1,1,0
1051,1,0,1
1052,1,0,0
1053,1,1,0
1054,1,1,1
1055,1,1,1
1056,1,0,0
1057,1,1,1
1058,1,0,1
1059,1,0,0
1060,1,0,0
1061,1,1,0
1062,1,1,0
1063,1,0,0
1064,1,0,0
1065,1,1,0
1066,1,0,1
1067,1,0,1
1068,1,1,0
1069,1,0,1
1070,1,1,0
1071,1,1,0
1072,1,1,1
1073,1,1,0
1074,1,0,0
1075,1,0,0
1076,1,1,0
1077,1,1,1
1078,1,1,1
1079,1,0,0
1080,1,0,0
1081,1,1,1
1082,1,1,1
1083,1,1,1
1084,1,1,0
1085,1,1,0
1086,1,0,0
1087,1,0,1
1088,1,1,1
1089,1,1,0
1090,1,0,0
1091,1,0,0
1092,1,0,1
1093,1,1,1
1094,1,0,0
1095,1,1,1
1096,1,1,0
1097,1,1,0
1098,1,1,0
1099,1,0,0
1100,1,1,1
1101,1,0,0
1102,1,1,0
1103,1,1,1
1104,1,0,0
1105,1,0,0
1106,1,0,0
1107,1,1,0
1108,1,1,0
1109,1,1,1
1110,1,0,0
1111,1,1,1
1112,1,1,0
1113,1,0,0
1114,1,1,1
1115,1,0,0
1116,1,1,0
1117,1,1,1
1118,1,1,0
1119,1,0,0
1120,1,1,0
1121,1,0,0
1122,1,1,0
1123,1,0,0
1124,1,0,0
1125,1,1,0
1126,1,0,0
1127,1,0,0
1128,1,1,0
1129,1,0,0
1130,1,1,0
1131,1,0,1
1132,1,0,0
1133,1,0,1
1134,1,0,0
1135,1,1,0
1136,1,0,0
1137,1,0,0
1138,1,1,0
1139,1,0,0
1140,1,1,0
1141,1,0,0
1142,1,1,1
1143,1,0,0
1144,1,0,1
1145,1,0,1
1146,1,1,1
1147,1,1,1
1148,1,1,1
1149,1,0,0
1150,1,0,0
1151,1,0,1
1152,1,1,0
1153,1,1,1
1154,1,1,0
1155,1,1,0
1156,1,1,1
1157,1,0,0
1158,1,0,0
1159,1,0,0
1160,1,1,0
1161,1,0,0
1162,1,0,0
1163,1,0,0
1164,1,1,0
1165,1,1,0
1166,1,1,0
1167,1,0,1
1168,1,0,0
1169,1,0,1
1170,1,1,0
1171,1,0,0
1172,1,0,0
1173,1,1,0
1174,1,1,0
1175,1,0,1
1176,1,0,0
1177,1,0,0
1178,1,0,0
1179,1,0,0
1180,1,0,0
1181,1,0,0
1182,1,0,0
1183,1,0,1
1184,1,1,0
1185,1,0,0
1186,1,1,0
1187,1,0,0
1188,1,0,0
1189,1,0,0
1190,1,1,0
1191,1,0,1
1192,1,0,1
1193,1,0,0
1194,1,1,1
1195,1,1,0
1196,1,0,1
1197,1,0,1
1198,1,0,0
1199,1,1,0
1200,1,0,0
1201,1,0,0
1202,1,1,0
1203,1,0,0
1204,1,0,0
1205,1,1,0
1206,1,1,1
1207,1,0,0
1208,1,0,0
1209,1,1,0
1210,1,1,0
1211,1,0,1
1212,1,0,1
1213,1,0,1
1214,1,0,0
1215,1,0,0
1216,1,0,0
1217,1,0,1
1218,1,0,0
1219,1,0,0
1220,1,1,1
1221,1,1,1
1222,1,1,1
1223,1,0,0
1224,1,0,0
1225,1,0,0
1226,1,1,1
1227,1,1,0
1228,1,1,0
1229,1,0,0
1230,1,0,0
1231,1,0,0
1232,1,0,0
1233,1,0,0
1234,1,1,0
1235,1,0,0
1236,1,0,0
1237,1,0,0
1238,1,0,0
1239,1,0,0
1240,1,0,1
1241,1,1,0
1242,1,0,0
1243,1,0,0
1244,1,1,0
1245,1,0,0
1246,1,1,0
1247,1,1,0
1248,1,0,1
1249,1,1,1
1250,1,1,1
1251,1,1,1
1252,1,0,0
1253,1,0,0
1254,1,1,1
1255,1,0,1
1256,1,1,0
1257,1,1,1
1258,1,0,0
1259,1,1,1
1260,1,1,1
1261,1,1,0
1262,1,1,0
1263,1,1,0
1264,1,0,0
1265,1,0,0
1266,1,0,0
1267,1,0,0
1268,1,0,0
1269,1,0,0
1270,1,1,1
1271,1,0,0
1272,1,0,1
1273,1,0,0
1274,1,0,0
1275,1,1,0
1276,1,0,0
1277,1,0,0
1278,1,1,1
1279,1,0,0
1280,1,1,0
1281,1,1,1
1282,1,0,1
1283,1,1,0
1284,1,0,0
1285,1,0,0
1286,1,1,0
1287,1,0,1
1288,1,0,0
1289,1,0,0
1290,1,1,0
1291,1,0,1
